"Date","Price","Open","High","Low","Vol.","Change %"
"12/05/2021","4,712.00","4,548.40","4,713.60","4,540.50","","3.83%"
"11/28/2021","4,538.40","4,628.80","4,672.90","4,495.10","","-1.22%"
"11/21/2021","4,594.60","4,712.00","4,743.80","4,585.40","","-2.20%"
"11/14/2021","4,698.00","4,689.30","4,717.80","4,672.80","","0.32%"
"11/07/2021","4,682.90","4,701.50","4,714.90","4,630.90","","-0.31%"
"10/31/2021","4,697.50","4,610.60","4,718.50","4,595.10","","2.00%"
"10/24/2021","4,605.40","4,553.70","4,608.10","4,537.40","","1.33%"
"10/17/2021","4,544.90","4,463.70","4,559.70","4,447.50","","1.64%"
"10/10/2021","4,471.40","4,385.40","4,475.80","4,329.90","","1.82%"
"10/03/2021","4,391.30","4,348.80","4,430.00","4,278.90","","0.79%"
"09/26/2021","4,357.00","4,442.10","4,457.30","4,288.50","","-2.21%"
"09/19/2021","4,455.50","4,402.90","4,465.40","4,305.90","","0.51%"
"09/12/2021","4,433.00","4,474.80","4,493.00","4,427.80","","-0.57%"
"09/05/2021","4,458.60","4,535.40","4,535.40","4,457.70","","-1.69%"
"08/29/2021","4,535.40","4,513.80","4,545.90","4,513.80","","0.58%"
"08/22/2021","4,509.40","4,450.30","4,513.30","4,450.30","","1.52%"
"08/15/2021","4,441.70","4,461.60","4,480.30","4,367.70","","-0.59%"
"08/08/2021","4,468.00","4,437.80","4,468.40","4,424.70","","0.71%"
"08/01/2021","4,436.50","4,406.90","4,440.80","4,373.00","","0.94%"
"07/25/2021","4,395.30","4,409.60","4,430.00","4,372.50","","-0.37%"
"07/18/2021","4,411.80","4,296.40","4,415.20","4,233.10","","1.96%"
"07/11/2021","4,327.20","4,372.40","4,393.70","4,322.50","","-0.97%"
"07/04/2021","4,369.60","4,356.50","4,371.60","4,289.40","","0.40%"
"06/27/2021","4,352.30","4,284.90","4,355.40","4,274.70","","1.67%"
"06/20/2021","4,280.70","4,173.40","4,286.10","4,173.40","","2.74%"
"06/13/2021","4,166.40","4,248.30","4,257.20","4,164.40","","-1.91%"
"06/06/2021","4,247.40","4,229.30","4,249.70","4,208.40","","0.41%"
"05/30/2021","4,229.90","4,216.50","4,234.10","4,167.90","","0.61%"
"05/23/2021","4,204.10","4,170.20","4,218.40","4,170.20","","1.16%"
"05/16/2021","4,155.90","4,169.90","4,188.70","4,061.40","","-0.43%"
"05/09/2021","4,173.90","4,228.30","4,236.40","4,056.90","","-1.39%"
"05/02/2021","4,232.60","4,192.00","4,238.00","4,128.60","","1.23%"
"04/25/2021","4,181.20","4,185.00","4,218.80","4,174.90","","0.02%"
"04/18/2021","4,180.20","4,179.80","4,194.20","4,118.40","","-0.13%"
"04/11/2021","4,185.50","4,124.70","4,191.30","4,114.80","","1.37%"
"04/04/2021","4,128.80","4,034.40","4,129.50","4,034.40","","2.71%"
"03/28/2021","4,019.90","3,969.30","4,020.60","3,943.20","","1.14%"
"03/21/2021","3,974.50","3,916.50","3,978.20","3,853.50","","1.57%"
"03/14/2021","3,913.10","3,943.00","3,983.90","3,886.80","","-0.77%"
"03/07/2021","3,943.30","3,844.40","3,960.30","3,819.20","","2.64%"
"02/28/2021","3,841.90","3,842.50","3,914.50","3,723.30","","0.81%"
"02/21/2021","3,811.20","3,885.60","3,928.70","3,789.50","","-2.44%"
"02/14/2021","3,906.70","3,939.60","3,950.40","3,885.00","","-0.71%"
"02/07/2021","3,934.80","3,892.60","3,937.20","3,884.90","","1.23%"
"01/31/2021","3,886.80","3,731.20","3,894.60","3,725.60","","4.65%"
"01/24/2021","3,714.20","3,851.70","3,870.90","3,694.10","","-3.31%"
"01/17/2021","3,841.50","3,781.90","3,861.40","3,780.40","","1.95%"
"01/10/2021","3,768.20","3,803.10","3,823.60","3,749.60","","-1.48%"
"01/03/2021","3,824.70","3,764.60","3,826.70","3,662.70","","1.83%"
"12/27/2020","3,756.10","3,723.00","3,760.20","3,723.00","","1.43%"
"12/20/2020","3,703.10","3,684.30","3,711.20","3,636.50","","-0.17%"
"12/13/2020","3,709.40","3,675.30","3,726.70","3,645.80","","1.25%"
"12/06/2020","3,663.50","3,694.70","3,712.40","3,633.40","","-0.96%"
"11/29/2020","3,699.10","3,634.20","3,699.20","3,594.40","","1.67%"
"11/22/2020","3,638.30","3,566.80","3,644.30","3,552.80","","2.27%"
"11/15/2020","3,557.50","3,600.20","3,628.50","3,543.80","","-0.77%"
"11/08/2020","3,585.20","3,583.00","3,646.00","3,511.90","","2.16%"
"11/01/2020","3,509.40","3,296.20","3,529.10","3,279.70","","7.32%"
"10/25/2020","3,270.00","3,441.40","3,441.40","3,233.90","","-5.64%"
"10/18/2020","3,465.40","3,493.70","3,502.40","3,415.30","","-0.53%"
"10/11/2020","3,483.80","3,500.00","3,549.80","3,440.90","","0.19%"
"10/04/2020","3,477.10","3,367.30","3,482.30","3,354.50","","3.84%"
"09/27/2020","3,348.40","3,333.90","3,397.20","3,323.70","","1.51%"
"09/20/2020","3,298.50","3,285.60","3,323.30","3,209.40","","-0.63%"
"09/13/2020","3,319.50","3,363.60","3,428.90","3,292.40","","-0.64%"
"09/06/2020","3,341.00","3,371.90","3,425.60","3,310.50","","-2.51%"
"08/30/2020","3,427.00","3,509.70","3,588.10","3,349.60","","-2.31%"
"08/23/2020","3,508.00","3,418.10","3,509.20","3,413.10","","3.26%"
"08/16/2020","3,397.20","3,380.90","3,400.00","3,354.70","","0.72%"
"08/09/2020","3,372.80","3,356.00","3,387.90","3,326.40","","0.64%"
"08/02/2020","3,351.30","3,288.30","3,352.50","3,284.50","","2.45%"
"07/26/2020","3,271.10","3,219.80","3,272.20","3,204.10","","1.73%"
"07/19/2020","3,215.60","3,224.30","3,280.00","3,200.10","","-0.28%"
"07/12/2020","3,224.70","3,205.10","3,238.30","3,127.70","","1.25%"
"07/05/2020","3,185.00","3,155.30","3,186.80","3,115.70","","1.76%"
"06/28/2020","3,130.00","3,018.60","3,165.80","2,999.70","","4.02%"
"06/21/2020","3,009.10","3,094.40","3,154.90","3,004.60","","-2.86%"
"06/14/2020","3,097.70","2,993.80","3,155.50","2,965.70","","1.85%"
"06/07/2020","3,041.30","3,199.90","3,233.10","2,984.50","","-4.78%"
"05/31/2020","3,193.90","3,038.80","3,211.70","3,031.50","","4.91%"
"05/24/2020","3,044.30","3,004.10","3,068.70","2,969.80","","3.01%"
"05/17/2020","2,955.40","2,913.90","2,980.30","2,913.90","","3.20%"
"05/10/2020","2,863.70","2,915.50","2,945.80","2,766.60","","-2.26%"
"05/03/2020","2,929.80","2,815.00","2,932.20","2,797.80","","3.50%"
"04/26/2020","2,830.70","2,854.70","2,954.90","2,821.60","","-0.21%"
"04/19/2020","2,836.70","2,845.60","2,869.00","2,727.10","","-1.32%"
"04/12/2020","2,874.60","2,782.50","2,879.20","2,721.20","","3.04%"
"04/05/2020","2,789.80","2,578.30","2,818.60","2,574.60","","12.10%"
"03/29/2020","2,488.70","2,559.00","2,641.40","2,447.50","","-2.08%"
"03/22/2020","2,541.50","2,290.70","2,637.00","2,191.90","","10.27%"
"03/15/2020","2,304.90","2,508.60","2,563.00","2,280.50","","-14.98%"
"03/08/2020","2,711.00","2,863.90","2,882.60","2,478.90","","-8.79%"
"03/01/2020","2,972.40","2,974.30","3,136.70","2,901.50","","0.62%"
"02/23/2020","2,954.20","3,257.60","3,259.80","2,855.80","","-11.49%"
"02/16/2020","3,337.80","3,369.00","3,393.50","3,328.40","","-1.25%"
"02/09/2020","3,380.20","3,318.30","3,385.10","3,317.80","","1.58%"
"02/02/2020","3,327.70","3,235.70","3,348.00","3,235.70","","3.17%"
"01/26/2020","3,225.50","3,247.20","3,293.50","3,214.70","","-2.12%"
"01/19/2020","3,295.50","3,321.00","3,337.80","3,281.50","","-1.02%"
"01/12/2020","3,329.60","3,271.10","3,329.90","3,268.40","","1.97%"
"01/05/2020","3,265.30","3,217.60","3,283.00","3,214.60","","0.94%"
"12/29/2019","3,234.80","3,240.10","3,258.10","3,212.00","","-0.16%"
"12/22/2019","3,240.00","3,226.10","3,247.90","3,220.50","","0.58%"
"12/15/2019","3,221.20","3,183.60","3,225.70","3,183.60","","1.65%"
"12/08/2019","3,168.80","3,141.90","3,182.70","3,126.10","","0.73%"
"12/01/2019","3,145.90","3,143.80","3,150.60","3,070.30","","0.16%"
"11/24/2019","3,141.00","3,117.40","3,154.30","3,117.40","","0.99%"
"11/17/2019","3,110.30","3,117.90","3,127.60","3,091.40","","-0.33%"
"11/10/2019","3,120.50","3,080.30","3,120.50","3,075.80","","0.89%"
"11/03/2019","3,093.10","3,079.00","3,097.80","3,065.90","","0.85%"
"10/27/2019","3,066.90","3,032.10","3,066.90","3,023.20","","1.47%"
"10/20/2019","3,022.60","2,996.50","3,027.40","2,991.20","","1.22%"
"10/13/2019","2,986.20","2,965.80","3,008.30","2,962.90","","0.54%"
"10/06/2019","2,970.30","2,944.20","2,993.30","2,892.70","","0.62%"
"09/29/2019","2,952.00","2,967.10","2,992.50","2,855.90","","-0.33%"
"09/22/2019","2,961.80","2,983.50","3,008.00","2,945.50","","-1.01%"
"09/15/2019","2,992.10","2,996.40","3,022.00","2,978.60","","-0.51%"
"09/08/2019","3,007.40","2,988.40","3,020.70","2,957.00","","0.96%"
"09/01/2019","2,978.70","2,909.00","2,985.90","2,891.80","","1.78%"
"08/25/2019","2,926.50","2,866.70","2,940.40","2,853.10","","2.79%"
"08/18/2019","2,847.10","2,913.50","2,939.10","2,835.00","","-1.44%"
"08/11/2019","2,888.70","2,907.10","2,943.30","2,825.50","","-1.03%"
"08/04/2019","2,918.70","2,898.10","2,938.70","2,822.10","","-0.46%"
"07/28/2019","2,932.10","3,024.50","3,025.60","2,914.10","","-3.10%"
"07/21/2019","3,025.90","2,981.90","3,028.00","2,976.70","","1.66%"
"07/14/2019","2,976.60","3,017.80","3,017.80","2,973.10","","-1.23%"
"07/07/2019","3,013.80","2,979.80","3,013.90","2,963.40","","0.78%"
"06/30/2019","2,990.40","2,971.40","2,995.80","2,952.20","","1.65%"
"06/23/2019","2,941.80","2,951.40","2,954.90","2,913.00","","-0.29%"
"06/16/2019","2,950.50","2,889.80","2,964.20","2,887.30","","2.20%"
"06/09/2019","2,887.00","2,885.80","2,910.60","2,874.70","","0.48%"
"06/02/2019","2,873.30","2,751.50","2,885.00","2,728.80","","4.40%"
"05/26/2019","2,752.10","2,830.00","2,840.50","2,750.50","","-2.62%"
"05/19/2019","2,826.10","2,841.90","2,868.90","2,805.50","","-1.17%"
"05/12/2019","2,859.50","2,840.20","2,892.20","2,801.40","","-0.76%"
"05/05/2019","2,881.40","2,908.90","2,937.30","2,825.40","","-2.18%"
"04/28/2019","2,945.60","2,940.60","2,954.10","2,900.50","","0.19%"
"04/21/2019","2,939.90","2,898.80","2,939.90","2,896.30","","1.20%"
"04/14/2019","2,905.00","2,908.30","2,918.00","2,891.90","","-0.08%"
"04/07/2019","2,907.40","2,888.50","2,910.50","2,873.30","","0.51%"
"03/31/2019","2,892.70","2,848.60","2,893.20","2,848.60","","2.06%"
"03/24/2019","2,834.40","2,796.00","2,836.00","2,785.00","","1.20%"
"03/17/2019","2,800.70","2,822.60","2,860.30","2,800.50","","-0.77%"
"03/10/2019","2,822.50","2,747.60","2,830.70","2,747.60","","2.89%"
"03/03/2019","2,743.10","2,814.40","2,816.90","2,722.30","","-2.16%"
"02/24/2019","2,803.70","2,804.30","2,813.50","2,775.10","","0.39%"
"02/17/2019","2,792.70","2,769.30","2,794.20","2,764.60","","0.62%"
"02/10/2019","2,775.60","2,712.40","2,775.70","2,703.80","","2.50%"
